X,Y,osm_id,tourism,name
-88.8914191,30.3946429,367134898,museum,Magnolia Museum
-89.6657146,30.5171052,450289943,hotel,Heritage Inn
-88.8447875,30.4572128,561266667,hotel,Scottish Inn
-89.4233534,30.3561658,891116449,motel,Travelers Choice
-89.1388899,30.4230551,891116533,hotel,Crystal Inn
-89.1374528,30.4197815,891116551,hotel,Legacy Inn
-89.0939002,30.4259445,891116608,hotel,Best Western
-89.0938975,30.4250194,891116620,hotel,Hampton Inn
-89.0937386,30.4246217,891116630,hotel,Quality Inn
-89.0940215,30.4240141,891116639,hotel,Ramada
-89.0937746,30.4230873,891116648,hotel,America's Best Value Inn
-89.0935895,30.4226172,891116657,motel,Motel 6
-88.9356938,30.4456206,891133939,hotel,La Quinta
-88.844597,30.4560878,891155723,hotel,Comfort Inn
-88.5305411,30.4428258,891155731,hotel,La Quinta
-88.5262872,30.440555,891155748,hotel,Quality Inn
-88.8667235,30.4003926,1256213875,chalet,Your house
